"user_id","activity_start_dt","ticket_category","ticket_subcategory"
943,2015-12-23 23:45:00,Блокировки и отклонения,Заблокированное объявление
1 054,2015-12-12 22:03:00,Блокировки и отклонения,Заблокированное объявление
1 069,2015-11-03 10:18:00,Блокировки и отклонения,Заблокированная учетная запись
1 079,2015-12-21 23:44:00,Блокировки и отклонения,Отклоненное объявление
1 086,2015-10-20 13:02:00,Блокировки и отклонения,Отклоненное объявление
1 103,2015-12-03 11:17:00,Блокировки и отклонения,Заблокированное объявление
1 118,2015-09-21 16:56:00,Блокировки и отклонения,Заблокированная учетная запись
1 141,2015-12-19 20:59:00,Блокировки и отклонения,Заблокированное объявление
1 151,2015-11-09 21:36:00,Блокировки и отклонения,Отклоненное объявление
1 152,2015-10-03 16:08:00,Блокировки и отклонения,Заблокированная учетная запись
1 200,2015-12-24 16:09:00,Блокировки и отклонения,Заблокированное объявление
1 210,2015-10-23 10:53:00,Блокировки и отклонения,Заблокированная учетная запись
1 226,2015-09-30 12:43:00,Блокировки и отклонения,Заблокированная учетная запись
1 235,2015-10-30 18:06:00,Блокировки и отклонения,Заблокированное объявление
1 245,2015-09-13 20:41:00,Блокировки и отклонения,Заблокированная учетная запись
1 252,2015-10-25 22:59:00,Блокировки и отклонения,Заблокированное объявление
1 272,2015-09-16 12:38:00,Работа с объявлениями и личным кабинетом,Другие вопросы и консультации
1 289,2015-09-10 13:45:00,Работа с объявлениями и личным кабинетом,Удаление учетной записи
1 300,2015-12-26 16:19:00,Блокировки и отклонения,Заблокированное объявление
1 354,2015-09-29 11:26:00,Блокировки и отклонения,Заблокированное объявление
1 382,2015-11-25 15:39:00,Блокировки и отклонения,Заблокированное объявление
1 415,2015-09-01 17:42:00,Технические вопросы,Вход в личный кабинет
1 456,2015-12-23 17:21:00,Блокировки и отклонения,Заблокированное объявление
1 504,2015-10-13 19:34:00,Платные услуги и сервисы,Другие вопросы и консультации
1 517,2015-12-14 10:34:00,Блокировки и отклонения,Заблокированное объявление
1 540,2015-09-03 22:35:00,Блокировки и отклонения,Заблокированное объявление
1 545,2015-09-27 15:08:00,Технические вопросы,Вход в личный кабинет
1 591,2015-09-23 14:25:00,Платные услуги и сервисы,Общие вопросы и консультации Avito Промо
1 619,2015-12-11 22:50:00,Безопасность на Avito,Подозрительный пользователь
1 674,2015-10-16 19:59:00,Блокировки и отклонения,Отклоненное объявление
1 705,2015-10-24 11:23:00,Безопасность на Avito,Другие вопросы и консультации
1 725,2015-12-20 18:08:00,Технические вопросы,Подтверждение телефонного номера
1 729,2015-10-04 13:41:00,Работа с объявлениями и личным кабинетом,Снятие объявления с публикации
1 730,2015-12-29 16:43:00,"Магазины, Автозагрузка и юридические лица",Платные услуги
1 755,2015-10-09 20:33:00,Технические вопросы,Доступ к сайту
1 763,2015-11-12 22:34:00,Технические вопросы,Доступ к сайту
1 775,2015-11-21 20:37:00,Технические вопросы,Доступ к сайту
1 800,2015-11-17 19:33:00,Блокировки и отклонения,Отклоненное объявление
1 871,2015-12-18 23:09:00,Блокировки и отклонения,Заблокированное объявление
1 876,2015-10-14 10:46:00,Блокировки и отклонения,Заблокированное объявление
1 895,2015-10-07 09:05:00,Блокировки и отклонения,Заблокированное объявление
1 902,2015-12-18 08:05:00,Технические вопросы,Доступ к сайту
1 914,2015-11-08 13:00:00,Блокировки и отклонения,Заблокированная учетная запись
1 915,2015-09-09 14:28:00,Блокировки и отклонения,Заблокированная учетная запись
1 919,2015-10-26 18:37:00,Блокировки и отклонения,Заблокированное объявление
1 956,2015-12-18 12:15:00,Технические вопросы,Другие вопросы и консультации
1 977,2015-11-07 16:55:00,Блокировки и отклонения,Заблокированное объявление
1 979,2015-09-15 18:25:00,Блокировки и отклонения,Отклоненное объявление
2 010,2015-11-28 00:09:00,Безопасность на Avito,Подозрительный пользователь
2 040,2015-10-15 08:30:00,Технические вопросы,Доступ к сайту
2 099,2015-12-11 14:12:00,"Магазины, Автозагрузка и юридические лица",Технические вопросы
